section,metric,unit,agentic,static,agentic_minus_static,agentic_vs_static_percent,denominator
quality,momentF1,score,0.26666666666666666,0.3,-0.033333333333333326,,5
quality,shortEventRecall,rate,0.9,0.75,0.15000000000000002,,5
quality,evidenceAccuracy,rate,0.8333333333333334,0.9,-0.06666666666666665,,5
quality,editDecisionMacroF1,score,0.6807407407407406,0.548148148148148,0.1325925925925926,,5
quality,boundaryMedianSec,seconds,1.2,1,0.19999999999999996,,5
quality,boundaryP90Sec,seconds,4,2.8,1.2000000000000002,,5
efficiency,inputPlusToolTokens,tokens,351337,276494,74843,27.068580150021337,5
efficiency,totalAccountedTokens,tokens,392902,289108,103794,35.90146242926519,5
efficiency,paidEquivalentUsd,usd,0.330778,0.254673,0.076105,29.88341912962899,5
efficiency,latencyMs,milliseconds,243608,134352,109256,81.32070977730142,5
constraints,briefPasses,count,4,4,0,0,5
